Date,Open,High,Low ,Close
10/23/11 19:00,1.00829,1.00906,1.005,1.00564
10/23/11 23:00,1.00564,1.00789,1.00498,1.00684
10/24/11 3:00,1.00684,1.0075,1.00479,1.0051
10/24/11 7:00,1.0051,1.00723,1.00203,1.0035
10/24/11 11:00,1.0035,1.0061,1.00259,1.00278
10/24/11 15:00,1.00278,1.00436,1.00258,1.00405
10/24/11 19:00,1.00405,1.00462,1.00161,1.00202
10/24/11 23:00,1.00202,1.0036,1.00015,1.00132
10/25/11 3:00,1.00132,1.00332,0.99895,1.00247
10/25/11 7:00,1.00247,1.02115,1.00247,1.01423
10/25/11 11:00,1.01423,1.01664,1.01253,1.01653
10/25/11 15:00,1.01653,1.01756,1.01543,1.01694
10/25/11 19:00,1.01694,1.01702,1.01393,1.01419
10/25/11 23:00,1.01419,1.01556,1.01113,1.01547
10/26/11 3:00,1.01547,1.0175,1.01025,1.01031
10/26/11 7:00,1.01031,1.01619,1.00719,1.0098
10/26/11 11:00,1.0098,1.01137,1.00359,1.00404
10/26/11 15:00,1.00404,1.00498,1.00162,1.00219
10/26/11 19:00,1.00219,1.0041,0.99929,0.99984
10/26/11 23:00,0.99984,1.0001,0.99561,0.99696
10/27/11 3:00,0.99696,0.9974,0.99156,0.99403
10/27/11 7:00,0.99403,0.99722,0.99197,0.99347
10/27/11 11:00,0.99347,0.99364,0.9891,0.99068
10/27/11 15:00,0.99068,0.99219,0.99002,0.99216
10/27/11 19:00,0.99216,0.99351,0.99205,0.99297
10/27/11 23:00,0.99297,0.99308,0.98939,0.99036
10/28/11 3:00,0.99036,0.99622,0.98947,0.99552
10/28/11 7:00,0.99552,0.9969,0.99143,0.99334
10/28/11 11:00,0.99334,0.99414,0.99156,0.99211
10/30/11 15:00,0.99211,0.99384,0.99113,0.99294
10/30/11 19:00,0.99294,1.00164,0.99223,1.00164
10/30/11 23:00,1.00164,1.00259,0.99672,0.99856
10/31/11 3:00,0.99856,0.99896,0.99458,0.99519
10/31/11 7:00,0.99519,0.99941,0.9921,0.99596
10/31/11 11:00,0.99596,1.00056,0.99352,1.00056
10/31/11 15:00,1.00056,1.00056,0.99729,0.9986
10/31/11 19:00,0.9986,1.00158,0.99758,1.00146
10/31/11 23:00,1.00146,1.01302,1.00098,1.01089
11/1/11 3:00,1.01089,1.01843,1.00876,1.01513
11/1/11 7:00,1.01513,1.0207,1.01143,1.01893
11/1/11 11:00,1.01893,1.02016,1.01513,1.02016
11/1/11 15:00,1.02016,1.02217,1.01756,1.01984
11/1/11 19:00,1.01984,1.02007,1.01753,1.01904
11/1/11 23:00,1.01904,1.0191,1.01345,1.01432
11/2/11 3:00,1.01432,1.02009,1.0127,1.013
11/2/11 7:00,1.013,1.01434,1.01054,1.01419
11/2/11 11:00,1.01419,1.01751,1.01255,1.01325
11/2/11 15:00,1.01325,1.01965,1.01293,1.01934
11/2/11 19:00,1.01934,1.0215,1.01726,1.01821
11/2/11 23:00,1.01821,1.02089,1.01665,1.01678
11/3/11 3:00,1.01678,1.01745,1.00532,1.00712
11/3/11 7:00,1.00712,1.01842,1.00661,1.00969
11/3/11 11:00,1.00969,1.01043,1.00641,1.00647
11/3/11 15:00,1.00647,1.01021,1.00641,1.01019
11/3/11 19:00,1.01019,1.01158,1.0097,1.01123
11/3/11 23:00,1.01123,1.01407,1.01064,1.01374
11/4/11 3:00,1.01374,1.01983,1.01006,1.01837
11/4/11 7:00,1.01837,1.0227,1.01714,1.0193
11/4/11 11:00,1.0193,1.0196,1.01569,1.01659
11/6/11 15:00,1.01659,1.02025,1.01496,1.0197
11/6/11 19:00,1.0197,1.01998,1.01658,1.01717
11/6/11 23:00,1.01717,1.02019,1.01616,1.01905
11/7/11 3:00,1.01905,1.02,1.01509,1.01754
11/7/11 7:00,1.01754,1.01921,1.01233,1.01666
11/7/11 11:00,1.01666,1.01749,1.01213,1.01246
11/7/11 15:00,1.01246,1.01488,1.01163,1.01282
11/7/11 19:00,1.01282,1.01591,1.01266,1.0154
11/7/11 23:00,1.0154,1.01809,1.01445,1.01618
11/8/11 3:00,1.01618,1.01714,1.01236,1.01511
11/8/11 7:00,1.01511,1.0167,1.01183,1.01193
11/8/11 11:00,1.01193,1.01339,1.00761,1.00863
11/8/11 15:00,1.00863,1.0098,1.00777,1.00969
11/8/11 19:00,1.00969,1.01094,1.00941,1.01041
11/8/11 23:00,1.01041,1.01754,1.01008,1.01657
11/9/11 3:00,1.01657,1.023,1.01533,1.01869
11/9/11 7:00,1.01869,1.02274,1.01626,1.01713
11/9/11 11:00,1.01713,1.02441,1.01612,1.02441
11/9/11 15:00,1.02441,1.02468,1.02285,1.02342
11/9/11 19:00,1.02342,1.02378,1.02227,1.02354
11/9/11 23:00,1.02354,1.02651,1.02059,1.0219
11/10/11 3:00,1.0219,1.02501,1.01653,1.01708
11/10/11 7:00,1.01708,1.02366,1.01678,1.01678
11/10/11 11:00,1.01678,1.01952,1.0163,1.01673
11/10/11 15:00,1.01673,1.01945,1.01581,1.01934
11/10/11 19:00,1.01934,1.0196,1.01835,1.01893
11/10/11 23:00,1.01893,1.0231,1.01861,1.02123
11/11/11 3:00,1.02123,1.02247,1.01772,1.01916
11/11/11 7:00,1.01916,1.01993,1.01126,1.01241
11/11/11 11:00,1.01241,1.01411,1.01068,1.01236
11/13/11 15:00,1.01236,1.01352,1.00715,1.01348
11/13/11 19:00,1.01348,1.01582,1.01271,1.01578
11/13/11 23:00,1.01578,1.01755,1.01389,1.01692
11/14/11 3:00,1.01692,1.01934,1.01522,1.01772
11/14/11 7:00,1.01772,1.01903,1.01564,1.01762
11/14/11 11:00,1.01762,1.01812,1.01586,1.01651
11/14/11 15:00,1.01651,1.01722,1.01586,1.01686
11/14/11 19:00,1.01686,1.01909,1.01575,1.01834
11/14/11 23:00,1.01834,1.02258,1.01817,1.02222
11/15/11 3:00,1.02222,1.02617,1.02032,1.02245
11/15/11 7:00,1.02245,1.02438,1.02045,1.02156
11/15/11 11:00,1.02156,1.022,1.01933,1.02084
11/15/11 15:00,1.02084,1.02402,1.01925,1.024
11/15/11 19:00,1.024,1.02866,1.0239,1.02763
11/15/11 23:00,1.02763,1.02831,1.02186,1.02187
11/16/11 3:00,1.02187,1.02825,1.02118,1.02622
11/16/11 7:00,1.02622,1.02712,1.01929,1.02043
11/16/11 11:00,1.02043,1.02435,1.01712,1.02434
11/16/11 15:00,1.02434,1.02628,1.02313,1.02441
11/16/11 19:00,1.02441,1.02538,1.02088,1.02156
11/16/11 23:00,1.02156,1.0254,1.02069,1.0241
11/17/11 3:00,1.0241,1.028,1.02197,1.02321
11/17/11 7:00,1.02321,1.02824,1.02095,1.02705
11/17/11 11:00,1.02705,1.02939,1.02581,1.02894
11/17/11 15:00,1.02894,1.0296,1.028,1.02876
11/17/11 19:00,1.02876,1.02984,1.0266,1.02977
11/17/11 23:00,1.02977,1.03009,1.02541,1.0256
11/18/11 3:00,1.0256,1.02785,1.01982,1.02245
11/18/11 7:00,1.02245,1.02751,1.02222,1.02611
11/18/11 11:00,1.02611,1.02776,1.02469,1.0271
11/20/11 15:00,1.0271,1.02983,1.02666,1.02942
11/20/11 19:00,1.02942,1.02979,1.02835,1.02902
11/20/11 23:00,1.02902,1.03311,1.02813,1.03268
11/21/11 3:00,1.03268,1.03673,1.03264,1.03473
11/21/11 7:00,1.03473,1.04179,1.03354,1.03903
11/21/11 11:00,1.03903,1.03979,1.03632,1.03978
11/21/11 15:00,1.03978,1.03978,1.03751,1.03779
11/21/11 19:00,1.03779,1.03955,1.03668,1.03772
11/21/11 23:00,1.03772,1.03993,1.03568,1.03975
11/22/11 3:00,1.03975,1.0412,1.03616,1.03969
11/22/11 7:00,1.03969,1.04016,1.0345,1.03562
11/22/11 11:00,1.03562,1.03848,1.03453,1.03802
11/22/11 15:00,1.03802,1.04129,1.03706,1.04126
11/22/11 19:00,1.04126,1.04244,1.04013,1.04098
11/22/11 23:00,1.04098,1.04268,1.03993,1.04185
11/23/11 3:00,1.04185,1.04531,1.04094,1.04226
11/23/11 7:00,1.04226,1.04963,1.04161,1.04643
11/23/11 11:00,1.04643,1.04887,1.04509,1.04836
11/23/11 15:00,1.04836,1.04836,1.04623,1.04646
11/23/11 19:00,1.04646,1.04775,1.0453,1.04768
11/23/11 23:00,1.04768,1.04881,1.04373,1.04395
11/24/11 3:00,1.04395,1.04686,1.04382,1.04686
11/24/11 7:00,1.04686,1.04911,1.0453,1.04715
11/24/11 11:00,1.04715,1.04806,1.04613,1.04661
11/24/11 15:00,1.04661,1.04871,1.04598,1.04768
11/24/11 19:00,1.04768,1.04903,1.04754,1.04816
11/24/11 23:00,1.04816,1.05125,1.04679,1.05108
11/25/11 3:00,1.05108,1.05226,1.04851,1.04929
11/25/11 7:00,1.04929,1.05051,1.04375,1.04961
11/25/11 11:00,1.04961,1.05132,1.04846,1.04933
11/27/11 15:00,1.04933,1.04933,1.0396,1.04075
11/27/11 19:00,1.04075,1.04297,1.03874,1.03896
11/27/11 23:00,1.03896,1.04052,1.03385,1.03463
11/28/11 3:00,1.03463,1.03465,1.03091,1.03175
11/28/11 7:00,1.03175,1.03491,1.03032,1.03485
11/28/11 11:00,1.03485,1.03727,1.03304,1.03378
11/28/11 15:00,1.03378,1.03628,1.03325,1.03495
11/28/11 19:00,1.03495,1.03537,1.03115,1.03165
11/28/11 23:00,1.03165,1.03524,1.03118,1.03286
11/29/11 3:00,1.03286,1.03302,1.02577,1.03014
11/29/11 7:00,1.03014,1.03221,1.02812,1.03018
11/29/11 11:00,1.03018,1.03214,1.0294,1.03161
11/29/11 15:00,1.03161,1.03261,1.02967,1.03112
11/29/11 19:00,1.03112,1.03323,1.03029,1.03307
11/29/11 23:00,1.03307,1.03621,1.03211,1.03327
11/30/11 3:00,1.03327,1.03399,1.01222,1.01291
11/30/11 7:00,1.01291,1.02091,1.0124,1.01852
11/30/11 11:00,1.01852,1.02025,1.01681,1.01681
11/30/11 15:00,1.01681,1.0193,1.01681,1.01901
11/30/11 19:00,1.01901,1.01971,1.0168,1.01907
11/30/11 23:00,1.01907,1.02219,1.0181,1.01865
12/1/11 3:00,1.01865,1.02034,1.01678,1.01892
12/1/11 7:00,1.01892,1.01941,1.01352,1.01547
12/1/11 11:00,1.01547,1.01597,1.01358,1.01358
12/1/11 15:00,1.01358,1.01472,1.01341,1.01399
12/1/11 19:00,1.01399,1.01511,1.01375,1.01448
12/1/11 23:00,1.01448,1.01489,1.01132,1.01169
12/2/11 3:00,1.01169,1.01498,1.00784,1.01365
12/2/11 7:00,1.01365,1.0179,1.01276,1.01788
12/2/11 11:00,1.01788,1.01942,1.01715,1.01841
12/4/11 15:00,1.01841,1.01841,1.01555,1.01703
12/4/11 19:00,1.01703,1.01862,1.0164,1.01822
12/4/11 23:00,1.01822,1.01832,1.01537,1.01547
12/5/11 3:00,1.01547,1.01653,1.01313,1.01367
12/5/11 7:00,1.01367,1.01563,1.01178,1.01383
12/5/11 11:00,1.01383,1.01928,1.01373,1.01611
12/5/11 15:00,1.01611,1.01964,1.01573,1.0194
12/5/11 19:00,1.0194,1.02002,1.01839,1.01888
12/5/11 23:00,1.01888,1.02062,1.01615,1.01708
12/6/11 3:00,1.01708,1.02016,1.01411,1.01929
12/6/11 7:00,1.01929,1.01933,1.01075,1.01193
12/6/11 11:00,1.01193,1.01276,1.0084,1.00978
